pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,0,World,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,661260,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,156,China,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,75214,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,818,Egypt,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,77943,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,792,Turkey,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,454920,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,826,United Kingdom,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,53183,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,0,World,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,0,,14121,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,818,Egypt,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,0,,14121,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,156,China,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,284719,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,748,Swaziland,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,173186,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,818,Egypt,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,622222,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,251,France,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,89964,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,372,Ireland,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,615100,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,760,Syria,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,87,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,792,Turkey,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,946763,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,682,Saudi Arabia,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,22778,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,458,Malaysia,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,300,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,533,Aruba,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,29188,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,724,Spain,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,8023,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,784,United Arab Emirates,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,44272,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,699,India,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,202257,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,0,World,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,3660991,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,381,Italy,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,202895,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,276,Germany,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,419237,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,0,World,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,0,,1155468,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,364,Iran,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,0,,456236,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,818,Egypt,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,0,,13834,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,748,Swaziland,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,0,,101498,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,784,United Arab Emirates,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,0,,331721,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,760,Syria,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,0,,90,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,528,Netherlands,,,,,,,,,01,Animals; live,,,,,,,0,,126655,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,0,World,,,,,,,,,01,Animals; live,,,,,,,0,,129911,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,276,Germany,,,,,,,,,01,Animals; live,,,,,,,0,,1956,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,344,"China, Hong Kong SAR",,,,,,,,,01,Animals; live,,,,,,,0,,1300,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,818,Egypt,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,12786,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,688,Serbia,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,1710,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,0,World,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,38976,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,682,Saudi Arabia,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,24480,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,144,Sri Lanka,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,0,,28596,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,818,Egypt,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,0,,21369,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,0,World,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,0,,49965,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,688,Serbia,,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,,,,,,,0,,1840,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,0,World,,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,,,,,,,0,,1840,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,818,Egypt,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,0,,229347,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,0,World,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,0,,2227223,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,724,Spain,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,0,,15509,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,458,Malaysia,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,0,,1926216,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,360,Indonesia,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,0,,51408,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,682,Saudi Arabia,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,0,,2244,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,156,China,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,0,,2499,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,724,Spain,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,0,,1445,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,682,Saudi Arabia,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,0,,83232,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,0,World,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,0,,86776,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,156,China,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,0,,2099,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,699,India,,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",,,,,,,0,,208203,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,682,Saudi Arabia,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,0,,170052,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,842,United States of America,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,0,,11124,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,276,Germany,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,0,,61883,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,410,Rep. of Korea,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,0,,9030,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,400,Jordan,,,,,,,,,30,Pharmaceutical products,,,,,,,0,,351969,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,0,World,,,,,,,,,30,Pharmaceutical products,,,,,,,0,,4004610,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,784,United Arab Emirates,,,,,,,,,30,Pharmaceutical products,,,,,,,0,,42155,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,818,Egypt,,,,,,,,,30,Pharmaceutical products,,,,,,,0,,441186,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,748,Swaziland,,,,,,,,,30,Pharmaceutical products,,,,,,,0,,286110,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,458,Malaysia,,,,,,,,,30,Pharmaceutical products,,,,,,,0,,510,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,218,Ecuador,,,,,,,,,30,Pharmaceutical products,,,,,,,0,,44116,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,826,United Kingdom,,,,,,,,,30,Pharmaceutical products,,,,,,,0,,104040,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,586,Pakistan,,,,,,,,,30,Pharmaceutical products,,,,,,,0,,420326,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,682,Saudi Arabia,,,,,,,,,30,Pharmaceutical products,,,,,,,0,,716408,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,276,Germany,,,,,,,,,30,Pharmaceutical products,,,,,,,0,,568704,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,156,China,,,,,,,,,30,Pharmaceutical products,,,,,,,0,,875996,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,760,Syria,,,,,,,,,30,Pharmaceutical products,,,,,,,0,,107893,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,699,India,,,,,,,,,30,Pharmaceutical products,,,,,,,0,,45197,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,682,Saudi Arabia,,,,,,,,,31,Fertilizers,,,,,,,0,,383,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,156,China,,,,,,,,,31,Fertilizers,,,,,,,0,,19371,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,0,World,,,,,,,,,31,Fertilizers,,,,,,,0,,19754,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,0,World,,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",,,,,,,,,564654,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,156,China,,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",,,,,,,0,,183572,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,699,India,,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",,,,,,,0,,68644,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,760,Syria,,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",,,,,,,0,,26418,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,392,Japan,,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",,,,,,,0,,1910,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,842,United States of America,,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",,,,,,,0,,38250,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,528,Netherlands,,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",,,,,,,0,,223701,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,784,United Arab Emirates,,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",,,,,,,0,,153000,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,0,World,,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",,,,,,,0,,724800,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,276,Germany,,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",,,,,,,0,,101646,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,116,Cambodia,,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",,,,,,,0,,17934,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,899,"Areas, nes",,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",,,,,,,,,78889,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,710,South Africa,,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",,,,,,,0,,38249,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,826,United Kingdom,,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",,,,,,,0,,20788,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,792,Turkey,,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",,,,,,,0,,113098,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,458,Malaysia,,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",,,,,,,0,,128,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,360,Indonesia,,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",,,,,,,0,,7161,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,818,Egypt,,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",,,,,,,0,,1340902,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,699,India,,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",,,,,,,0,,102675,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,682,Saudi Arabia,,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",,,,,,,0,,263494,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,0,World,,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",,,,,,,,,2403233,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,156,China,,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",,,,,,,0,,104564,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,400,Jordan,,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",,,,,,,0,,64,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,764,Thailand,,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",,,,,,,0,,102438,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,784,United Arab Emirates,,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",,,,,,,0,,210028,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,152,Chile,,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",,,,,,,0,,2821,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,0,World,,,,,,,,,43,Furskins and artificial fur; manufactures thereof,,,,,,,0,,796,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,818,Egypt,,,,,,,,,43,Furskins and artificial fur; manufactures thereof,,,,,,,0,,796,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,699,India,,,,,,,,,44,Wood and articles of wood; wood charcoal,,,,,,,0,,893,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,784,United Arab Emirates,,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",,,,,,,0,,35676,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,818,Egypt,,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",,,,,,,0,,94654,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,682,Saudi Arabia,,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",,,,,,,0,,117390,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,400,Jordan,,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",,,,,,,,,36390,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,0,World,,,,,,,,,40,Rubber and articles thereof,,,,,,,,,2176120,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,218,Ecuador,,,,,,,,,40,Rubber and articles thereof,,,,,,,0,,9690,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,381,Italy,,,,,,,,,40,Rubber and articles thereof,,,,,,,0,,10834,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,764,Thailand,,,,,,,,,40,Rubber and articles thereof,,,,,,,0,,8496,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,818,Egypt,,,,,,,,,40,Rubber and articles thereof,,,,,,,0,,191826,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,784,United Arab Emirates,,,,,,,,,40,Rubber and articles thereof,,,,,,,0,,83795,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,792,Turkey,,,,,,,,,40,Rubber and articles thereof,,,,,,,0,,2801,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,699,India,,,,,,,,,40,Rubber and articles thereof,,,,,,,0,,200098,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,826,United Kingdom,,,,,,,,,40,Rubber and articles thereof,,,,,,,,,610,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,276,Germany,,,,,,,,,40,Rubber and articles thereof,,,,,,,0,,205786,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,156,China,,,,,,,,,40,Rubber and articles thereof,,,,,,,0,,554247,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,392,Japan,,,,,,,,,40,Rubber and articles thereof,,,,,,,0,,553959,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,410,Rep. of Korea,,,,,,,,,40,Rubber and articles thereof,,,,,,,0,,99282,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,533,Aruba,,,,,,,,,40,Rubber and articles thereof,,,,,,,0,,142044,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,682,Saudi Arabia,,,,,,,,,40,Rubber and articles thereof,,,,,,,0,,30267,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,620,Portugal,,,,,,,,,40,Rubber and articles thereof,,,,,,,0,,82385,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,156,China,,,,,,,,,50,Silk,,,,,,,0,,4296,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,0,World,,,,,,,,,50,Silk,,,,,,,0,,4296,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,0,World,,,,,,,,,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,,,,,,,0,,378,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,818,Egypt,,,,,,,,,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,,,,,,,0,,378,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,156,China,,,,,,,,,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",,,,,,,0,,61710,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,784,United Arab Emirates,,,,,,,,,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",,,,,,,0,,31632,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,682,Saudi Arabia,,,,,,,,,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",,,,,,,0,,140,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,642,Romania,,,,,,,,,44,Wood and articles of wood; wood charcoal,,,,,,,0,,29160,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,36,Australia,,,,,,,,,44,Wood and articles of wood; wood charcoal,,,,,,,0,,87483,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,792,Turkey,,,,,,,,,44,Wood and articles of wood; wood charcoal,,,,,,,0,,8938,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,533,Aruba,,,,,,,,,44,Wood and articles of wood; wood charcoal,,,,,,,0,,138035,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,156,China,,,,,,,,,44,Wood and articles of wood; wood charcoal,,,,,,,0,,442911,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,760,Syria,,,,,,,,,44,Wood and articles of wood; wood charcoal,,,,,,,0,,224,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,784,United Arab Emirates,,,,,,,,,44,Wood and articles of wood; wood charcoal,,,,,,,0,,5990,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,752,Sweden,,,,,,,,,44,Wood and articles of wood; wood charcoal,,,,,,,0,,323977,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,818,Egypt,,,,,,,,,44,Wood and articles of wood; wood charcoal,,,,,,,0,,29643,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,682,Saudi Arabia,,,,,,,,,44,Wood and articles of wood; wood charcoal,,,,,,,0,,24433,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,440,Lithuania,,,,,,,,,44,Wood and articles of wood; wood charcoal,,,,,,,0,,61710,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,0,World,,,,,,,,,44,Wood and articles of wood; wood charcoal,,,,,,,0,,1464440,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,40,Austria,,,,,,,,,44,Wood and articles of wood; wood charcoal,,,,,,,0,,311043,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,0,World,,,,,,,,,54,Man-made filaments,,,,,,,0,,126476,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,682,Saudi Arabia,,,,,,,,,54,Man-made filaments,,,,,,,0,,5333,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,156,China,,,,,,,,,54,Man-made filaments,,,,,,,0,,34409,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,381,Italy,,,,,,,,,54,Man-made filaments,,,,,,,0,,942,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,818,Egypt,,,,,,,,,54,Man-made filaments,,,,,,,0,,9924,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,792,Turkey,,,,,,,,,54,Man-made filaments,,,,,,,0,,18002,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,586,Pakistan,,,,,,,,,54,Man-made filaments,,,,,,,0,,2448,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,704,Viet Nam,,,,,,,,,54,Man-made filaments,,,,,,,0,,55418,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,156,China,,,,,,,,,60,Fabrics; knitted or crocheted,,,,,,,0,,113400,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,0,World,,,,,,,,,60,Fabrics; knitted or crocheted,,,,,,,0,,113400,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,381,Italy,,,,,,,,,70,Glass and glassware,,,,,,,0,,338,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,682,Saudi Arabia,,,,,,,,,70,Glass and glassware,,,,,,,0,,14641,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,699,India,,,,,,,,,70,Glass and glassware,,,,,,,0,,103109,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,764,Thailand,,,,,,,,,70,Glass and glassware,,,,,,,0,,45,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,392,Japan,,,,,,,,,70,Glass and glassware,,,,,,,0,,3486,,,0
HS,2012,201201,January 2012,2,0,1,Imports,729,Sudan,,410,Rep. of Korea,,,,,,,,,70,Glass and glassware,,,,,,,0,,2050,,,0
