pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,826,United Kingdom,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,,,348,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,842,United States of America,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,,,19523,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,899,"Areas, nes",,,,,,,,,17,Sugars and sugar confectionery,,,,,,,,,367,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,0,World,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,,,12026,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,52,Barbados,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,,,21,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,124,Canada,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,,,206,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,251,France,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,,,4386,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,388,Jamaica,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,,,57,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,780,Trinidad and Tobago,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,,,141,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,842,United States of America,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,,,7006,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,899,"Areas, nes",,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,,,209,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,0,World,,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",,,,,,,,,3312,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,276,Germany,,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",,,,,,,,,3312,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,0,World,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,,,1847161,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,32,Argentina,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,,,7258,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,52,Barbados,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,,,29787,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,76,Brazil,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,,,9901,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,92,Br. Virgin Isds,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,,,2712,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,124,Canada,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,,,1313,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,251,France,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,,,402,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,388,Jamaica,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,,,26564,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,780,Trinidad and Tobago,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,,,28710,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,826,United Kingdom,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,,,1383,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,842,United States of America,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,,,1739130,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,0,World,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,,,260326,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,76,Brazil,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,,,4133,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,92,Br. Virgin Isds,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,,,1317,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,124,Canada,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,,,43391,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,251,France,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,,,247,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,388,Jamaica,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,,,30305,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,531,Curaçao,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,,,44,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,780,Trinidad and Tobago,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,,,5648,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,826,United Kingdom,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,,,51597,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,842,United States of America,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,,,123578,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,899,"Areas, nes",,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,,,66,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,0,World,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,,,242951,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,28,Antigua and Barbuda,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,,,33,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,52,Barbados,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,,,385,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,124,Canada,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,,,271,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,251,France,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,,,1037,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,276,Germany,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,,,2509,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,320,Guatemala,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,,,81017,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,328,Guyana,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,,,125408,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,531,Curaçao,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,,,414,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,591,Panama,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,,,7085,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,780,Trinidad and Tobago,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,,,4553,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,0,World,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,,,67855,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,124,Canada,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,,,486,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,156,China,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,,,20421,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,251,France,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,,,43,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,780,Trinidad and Tobago,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,,,20113,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,826,United Kingdom,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,,,5745,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,842,United States of America,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,,,21004,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,899,"Areas, nes",,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,,,43,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,0,World,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,,,378659,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,28,Antigua and Barbuda,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,,,294,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,124,Canada,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,,,7152,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,214,Dominican Rep.,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,,,12905,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,251,France,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,,,912,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,388,Jamaica,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,,,30967,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,528,Netherlands,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,,,4255,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,531,Curaçao,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,,,33,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,591,Panama,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,,,26515,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,662,Saint Lucia,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,,,684,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,699,India,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,,,2448,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,780,Trinidad and Tobago,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,,,138538,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,826,United Kingdom,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,,,13238,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,842,United States of America,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,,,140199,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,899,"Areas, nes",,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,,,520,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,0,World,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,170794,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,124,Canada,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,26189,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,251,France,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,13,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,388,Jamaica,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,4151,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,531,Curaçao,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,48,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,780,Trinidad and Tobago,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,66012,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,826,United Kingdom,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,4316,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,842,United States of America,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,69344,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,899,"Areas, nes",,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,722,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,0,World,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,,,252843,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,28,Antigua and Barbuda,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,,,522,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,52,Barbados,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,,,3034,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,92,Br. Virgin Isds,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,,,1316,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,124,Canada,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,,,13265,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,156,China,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,,,53,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,251,France,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,,,12958,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,388,Jamaica,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,,,11739,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,528,Netherlands,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,,,17,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,531,Curaçao,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,,,1817,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,659,Saint Kitts and Nevis,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,,,1435,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,662,Saint Lucia,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,,,239,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,780,Trinidad and Tobago,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,,,44088,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,826,United Kingdom,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,,,4933,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,842,United States of America,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,,,153529,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,899,"Areas, nes",,,,,,,,,21,Miscellaneous edible preparations,,,,,,,,,3898,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,0,World,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,577386,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,40,Austria,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,9255,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,52,Barbados,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,21308,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,124,Canada,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,581,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,152,Chile,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,2064,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,251,France,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,39811,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,328,Guyana,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,20319,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,388,Jamaica,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,55555,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,531,Curaçao,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,98,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,659,Saint Kitts and Nevis,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,32874,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,662,Saint Lucia,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,154538,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,724,Spain,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,17537,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,780,Trinidad and Tobago,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,119913,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,826,United Kingdom,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,11294,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,842,United States of America,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,76606,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,899,"Areas, nes",,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,15633,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,0,World,,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",,,,,,,,,158880,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,124,Canada,,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",,,,,,,,,697,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,251,France,,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",,,,,,,,,762,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,308,Grenada,,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",,,,,,,,,19517,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,388,Jamaica,,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",,,,,,,,,89559,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,662,Saint Lucia,,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",,,,,,,,,185,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,670,Saint Vincent and the Grenadines,,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",,,,,,,,,16787,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,780,Trinidad and Tobago,,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",,,,,,,,,1418,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,842,United States of America,,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",,,,,,,,,29862,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,899,"Areas, nes",,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",,,,,,,,,93,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,0,World,,,,,,,,,24,Tobacco and manufactured tobacco substitutes,,,,,,,,,14711,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,251,France,,,,,,,,,24,Tobacco and manufactured tobacco substitutes,,,,,,,,,39,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,516,Namibia,,,,,,,,,24,Tobacco and manufactured tobacco substitutes,,,,,,,,,519,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,591,Panama,,,,,,,,,24,Tobacco and manufactured tobacco substitutes,,,,,,,,,5257,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,748,Swaziland,,,,,,,,,24,Tobacco and manufactured tobacco substitutes,,,,,,,,,4870,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,780,Trinidad and Tobago,,,,,,,,,24,Tobacco and manufactured tobacco substitutes,,,,,,,,,313,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,899,"Areas, nes",,,,,,,,,24,Tobacco and manufactured tobacco substitutes,,,,,,,,,3712,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,0,World,,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",,,,,,,,,537379,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,52,Barbados,,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",,,,,,,,,13489,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,124,Canada,,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",,,,,,,,,46,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,170,Colombia,,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",,,,,,,,,267437,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,251,France,,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",,,,,,,,,32,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,276,Germany,,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",,,,,,,,,2067,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,388,Jamaica,,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",,,,,,,,,235682,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,780,Trinidad and Tobago,,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",,,,,,,,,11600,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,842,United States of America,,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",,,,,,,,,7027,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,0,World,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,,,450395,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,251,France,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,,,362,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,531,Curaçao,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,,,37,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,662,Saint Lucia,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,,,2476,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,780,Trinidad and Tobago,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,,,347588,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,826,United Kingdom,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,,,53,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,842,United States of America,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,,,28066,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,862,Venezuela,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,,,23738,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,899,"Areas, nes",,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,,,48074,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,0,World,,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",,,,,,,,,191765,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,28,Antigua and Barbuda,,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",,,,,,,,,150,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,251,France,,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",,,,,,,,,215,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,276,Germany,,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",,,,,,,,,5718,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,780,Trinidad and Tobago,,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",,,,,,,,,115,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,842,United States of America,,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",,,,,,,,,185566,,,0
HS,2012,201204,April 2012,2,0,1,Imports,212,Dominica,,0,World,,,,,,,,,29,Organic chemicals,,,,,,,,,35860,,,0
